Gen.,"[N1, N1f, N1e]","[N2, N2f]",P,SFratio,CoolerdT,dutycon1,dutyreb1,dutycon2,dutyreb2,coolerduty,vac1duty,vac2duty,ttduty,RR1,top1T,top1F,bot1T,bot1F,D1,RR2,top2T,top2F,bot2T,bot2F,D2,Cap_column1,Cap_column2,Cap_con1,Cap_con2,Cap_reb1,Cap_reb2,Cap_cooler,Cap_vacuum1,Cap_vacuum2,Eng_cw1,Eng_cw2,Eng_st1,Eng_st2,Eng_cooler,Eng_vacuum1,Eng_vacuum2,Entrainer,Cost,totCap,totEng,case,RR1a,RR2a,Costa,RR1b,RR2b,Costb,RR1c,RR2c,Costc,RR1d,RR2d,Costd,F1,Xfi1,FIsx1,F2,Xfi2,FIsx2,F3,Xfi3,FIsx3,F4,Xfi4,FIsx4,F,Xfi,FIsx,penalty,TACfi,△RR1a,△RR2a,△IPA1,△H2O1,△RR1b,△RR2b,△IPA2,△H2O2,△RR1c,△RR2c,△IPA3,△H2O3,△RR1d,△RR2d,△IPA4,△H2O4
1,"[49,36,7]","[25,9]",14.7,1.025,-119.0,-3.4008,3.4587,-2.9824,3.8228,-1.9297,0.0,0.0,15.5943,0.6796,355.2,832.5,417.0,2542.5,0.775,0.462,372.4,834.2,463.9,1708.3,0.812,229422.0,135918.0,63016.0,45890.0,151153.0,66024.0,28021.0,32441.0,32441.0,9631.0,8446.0,215268.0,302151.0,0.0,0.0,0.0,18.0,796956.0,261442.0,535496.0,1.0,0.6796,0.4892,6262267.0,0.5218,10.0,3608666.0,0.6164,0.5102,5074001.0,0.6797,0.4865,6257430.0,1666.7,0.5,1.5259e-05,478.4,0.8565,3.5649,1322.9,0.3969,-1.0313,1666.7,0.5,-1.5259e-05,1666.7,0.5,1.5259e-05,10.0,6262267.0,-0.0001,0.059,0.0,0.0,-0.2322,20.6473,-0.5083,-0.9176,-0.093,0.1045,-0.37,-0.0425,0.0001,0.0532,0.0,0.0
2,"[50,40,11]","[26,9]",14.7,1.025,-119.0,-3.3785,3.4363,-2.9586,3.799,-1.9297,0.0,0.0,15.5021,0.6686,355.2,832.5,417.0,2542.5,0.773,0.4503,372.4,834.2,463.9,1708.3,0.8094,232677.0,140173.0,62746.0,45652.0,150518.0,65758.0,28021.0,32441.0,32441.0,9568.0,8379.0,213877.0,300276.0,0.0,0.0,0.0,18.0,795594.0,263476.0,532100.0,1.0,0.6691,0.4714,6216301.0,3.5457,10.0,9879866.0,0.6686,0.5004,6268957.0,0.6693,0.4756,6224404.0,1666.7,0.5,1.5259e-05,703.1,0.7891,2.8906,1666.7,0.5,-1.5259e-05,1666.7,0.5,-1.5259e-05,1666.7,0.5,1.5259e-05,10.0,6216301.0,0.0008,0.0467,0.0,0.0,4.3033,21.2062,-0.3342,-0.822,0.0001,0.1112,0.0,0.0,0.0011,0.0561,0.0,0.0
3,"[50,41,9]","[26,9]",14.7,1.025,-119.0,-3.2846,3.3425,-2.9901,3.8305,-1.9297,0.0,0.0,15.3775,0.6222,355.2,832.5,417.0,2542.5,0.7647,0.4658,372.4,834.2,463.9,1708.3,0.8128,230014.0,140789.0,61608.0,45968.0,147833.0,66111.0,28021.0,32441.0,32441.0,9302.0,8468.0,208036.0,302766.0,0.0,0.0,0.0,18.0,790333.0,261742.0,528573.0,1.0,0.6223,0.4758,6154900.0,0.3201,4.5404,3884417.0,0.6223,0.5836,6352921.0,0.6226,0.52,6236520.0,1666.7,0.5,1.5259e-05,672.7,0.7982,2.9818,1666.7,0.5,-1.5259e-05,1666.7,0.5,-1.5259e-05,1666.7,0.5,1.5259e-05,10.0,6154900.0,0.0001,0.0216,0.0,0.0,-0.4856,8.7482,-0.3557,-0.8371,0.0001,0.253,0.0,0.0,0.0005,0.1164,0.0,0.0
4,"[48,39,7]","[26,9]",14.7,1.025,-119.0,-3.2958,3.3537,-2.9636,3.804,-1.9297,0.0,0.0,15.3466,0.6278,355.2,832.5,417.0,2542.5,0.7657,0.4527,372.4,834.2,463.9,1708.3,0.81,222600.0,140269.0,61744.0,45702.0,148154.0,65813.0,28021.0,32441.0,32441.0,9334.0,8393.0,208732.0,300665.0,0.0,0.0,0.0,18.0,786203.0,259062.0,527123.0,1.0,0.6277,0.4702,6149688.0,0.5226,10.0,3526971.0,0.6161,0.5273,4668814.0,0.6281,0.4728,6155090.0,1666.7,0.5,1.5259e-05,470.2,0.8589,3.5894,1583.3,0.475,-0.25002,1666.7,0.5,-1.5259e-05,1666.7,0.5,1.5259e-05,10.0,6149688.0,-0.0002,0.0385,0.0,0.0,-0.1676,21.0879,-0.5153,-0.9204,-0.0186,0.1646,-0.0975,-0.0025,0.0006,0.0442,0.0,0.0
5,"[46,38,7]","[26,9]",14.7,1.025,-119.0,-3.3236,3.3815,-2.9577,3.7981,-1.9297,0.0,0.0,15.3905,0.6415,355.2,832.5,417.0,2542.5,0.7681,0.4499,372.4,834.2,463.9,1708.3,0.8093,215539.0,140154.0,62082.0,45643.0,148951.0,65747.0,28021.0,32441.0,32441.0,9412.0,8376.0,210462.0,300200.0,0.0,0.0,0.0,18.0,785475.0,257006.0,528451.0,1.0,0.6415,0.4575,6144362.0,0.5225,10.0,3525192.0,0.6416,10.0,23675742.0,0.6415,0.4939,6211227.0,1666.7,0.5,1.5259e-05,470.2,0.8589,3.5893,1666.7,0.5,-1.5259e-05,1666.7,0.5,-1.5259e-05,1666.7,0.5,1.5259e-05,10.0,6144362.0,0.0,0.017,0.0,0.0,-0.1854,21.2295,-0.5153,-0.9204,0.0002,21.2295,0.0,0.0,0.0,0.0979,0.0,0.0
6,"[46,38,7]","[26,9]",14.7,1.025,-119.0,-3.3236,3.3815,-2.9577,3.7981,-1.9297,0.0,0.0,15.3905,0.6415,355.2,832.5,417.0,2542.5,0.7681,0.4499,372.4,834.2,463.9,1708.3,0.8093,215539.0,140154.0,62082.0,45643.0,148951.0,65747.0,28021.0,32441.0,32441.0,9412.0,8376.0,210462.0,300200.0,0.0,0.0,0.0,18.0,785475.0,257006.0,528451.0,1.0,0.6415,0.4575,6144362.0,0.5225,10.0,3525192.0,0.6416,10.0,23675742.0,0.6415,0.4939,6211227.0,1666.7,0.5,1.5259e-05,470.2,0.8589,3.5893,1666.7,0.5,-1.5259e-05,1666.7,0.5,-1.5259e-05,1666.7,0.5,1.5259e-05,10.0,6144362.0,0.0,0.017,0.0,0.0,-0.1854,21.2295,-0.5153,-0.9204,0.0002,21.2295,0.0,0.0,0.0,0.0979,0.0,0.0
7,"[46,38,7]","[26,9]",14.7,1.025,-119.0,-3.3236,3.3815,-2.9577,3.7981,-1.9297,0.0,0.0,15.3905,0.6415,355.2,832.5,417.0,2542.5,0.7681,0.4499,372.4,834.2,463.9,1708.3,0.8093,215539.0,140154.0,62082.0,45643.0,148951.0,65747.0,28021.0,32441.0,32441.0,9412.0,8376.0,210462.0,300200.0,0.0,0.0,0.0,18.0,785475.0,257006.0,528451.0,1.0,0.6415,0.4575,6144362.0,0.5225,10.0,3525192.0,0.6416,10.0,23675742.0,0.6415,0.4939,6211227.0,1666.7,0.5,1.5259e-05,470.2,0.8589,3.5893,1666.7,0.5,-1.5259e-05,1666.7,0.5,-1.5259e-05,1666.7,0.5,1.5259e-05,10.0,6144362.0,0.0,0.017,0.0,0.0,-0.1854,21.2295,-0.5153,-0.9204,0.0002,21.2295,0.0,0.0,0.0,0.0979,0.0,0.0
8,"[45,38,7]","[26,9]",9.58,1.1105,-126.0,-3.1185,3.0426,-3.0046,3.8253,-2.1319,0.0,0.0,15.1229,0.4997,344.9,832.5,405.3,2685.0,0.8571,0.4536,360.9,834.2,448.0,1850.8,0.8996,237820.0,156866.0,72259.0,53309.0,97208.0,57065.0,38617.0,32441.0,32441.0,8832.0,8509.0,189371.0,302350.0,0.0,66.0,16.0,18.0,768422.0,259342.0,444797.0,1.0,0.498,0.4997,6009030.0,0.4389,10.0,5594412.0,0.4979,10.0,23693300.0,0.498,0.5442,6091747.0,1666.7,0.5,1.5259e-05,689.9,0.793,2.9303,1666.7,0.5,-1.5259e-05,1666.7,0.5,-1.5259e-05,1666.7,0.5,1.5259e-05,10.0,6009030.0,-0.0033,0.1016,0.0,0.0,-0.1216,21.0445,-0.3435,-0.8286,-0.0035,21.0445,0.0,0.0,-0.0035,0.1997,0.0,0.0
9,"[45,38,7]","[26,9]",9.58,1.1105,-126.0,-3.1185,3.0426,-3.0046,3.8253,-2.1319,0.0,0.0,15.1229,0.4997,344.9,832.5,405.3,2685.0,0.8571,0.4536,360.9,834.2,448.0,1850.8,0.8996,237820.0,156866.0,72259.0,53309.0,97208.0,57065.0,38617.0,32441.0,32441.0,8832.0,8509.0,189371.0,302350.0,0.0,66.0,16.0,18.0,768422.0,259342.0,444797.0,1.0,0.498,0.4997,6009030.0,0.4389,10.0,5594412.0,0.4979,10.0,23693300.0,0.498,0.5442,6091747.0,1666.7,0.5,1.5259e-05,689.9,0.793,2.9303,1666.7,0.5,-1.5259e-05,1666.7,0.5,-1.5259e-05,1666.7,0.5,1.5259e-05,10.0,6009030.0,-0.0033,0.1016,0.0,0.0,-0.1216,21.0445,-0.3435,-0.8286,-0.0035,21.0445,0.0,0.0,-0.0035,0.1997,0.0,0.0
10,"[45,38,7]","[26,9]",9.58,1.1105,-126.0,-3.1185,3.0426,-3.0046,3.8253,-2.1319,0.0,0.0,15.1229,0.4997,344.9,832.5,405.3,2685.0,0.8571,0.4536,360.9,834.2,448.0,1850.8,0.8996,237820.0,156866.0,72259.0,53309.0,97208.0,57065.0,38617.0,32441.0,32441.0,8832.0,8509.0,189371.0,302350.0,0.0,66.0,16.0,18.0,768422.0,259342.0,444797.0,1.0,0.498,0.4997,6009030.0,0.4389,10.0,5594412.0,0.4979,10.0,23693300.0,0.498,0.5442,6091747.0,1666.7,0.5,1.5259e-05,689.9,0.793,2.9303,1666.7,0.5,-1.5259e-05,1666.7,0.5,-1.5259e-05,1666.7,0.5,1.5259e-05,10.0,6009030.0,-0.0033,0.1016,0.0,0.0,-0.1216,21.0445,-0.3435,-0.8286,-0.0035,21.0445,0.0,0.0,-0.0035,0.1997,0.0,0.0
