Gen.,"[N1, N1f, N1e]","[N2, N2f]",P,SFratio,CoolerdT,dutycon1,dutyreb1,dutycon2,dutyreb2,coolerduty,vac1duty,vac2duty,ttduty,RR1,top1T,top1F,bot1T,bot1F,D1,RR2,top2T,top2F,bot2T,bot2F,D2,Cap_column1,Cap_column2,Cap_con1,Cap_con2,Cap_reb1,Cap_reb2,Cap_cooler,Cap_vacuum1,Cap_vacuum2,Eng_cw1,Eng_cw2,Eng_st1,Eng_st2,Eng_cooler,Eng_vacuum1,Eng_vacuum2,Entrainer,Cost,totCap,totEng,case,RR1a,RR2a,Costa,RR1b,RR2b,Costb,RR1c,RR2c,Costc,RR1d,RR2d,Costd,F1,Xfi1,FIsx1,F2,Xfi2,FIsx2,F3,Xfi3,FIsx3,F4,Xfi4,FIsx4,F,Xfi,FIsx,penalty,TACfi,F2.1,Xfi2.1,FIsx2.1,F3.1,Xfi3.1,FIsx3.1,F4.1,Xfi4.1,FIsx4.1,F.1,Xfi.1,FIsx.1,penalty.1,TACfi.1
1,"[50,39,9]","[26,9]",14.7,1.025,-119.0,-3.3357,3.3936,-2.965,3.8054,-1.9297,0.0,0.0,15.4294,0.6475,355.2,832.5,417.0,2542.5,0.7692,0.4535,372.4,834.2,463.9,1708.3,0.8101,231469.0,140298.0,62229.0,45716.0,149297.0,65829.0,28021.0,32441.0,32441.0,9447.0,8397.0,211215.0,300781.0,0.0,0.0,0.0,18.0,792438.0,262580.0,529840.0,1.0,0.6472,0.4972,55065218.0,0.3205,10.0,49440351.0,0.6473,0.4979,55078098.0,0.6471,0.5318,55647989.0,1666.7,0.5,1.5e-05,680.9,0.7957,2.9573,1666.7,0.5,-1.5e-05,1666.7,0.5,-1.5e-05,1666.7,0.5,0.0,100.0,55065218.0,680.9,0.7957,2.9573,1666.7,0.5,-1.5e-05,1666.7,0.5,-1.5e-05,1666.7,0.5,0.0,100.0,55065218.0
2,"[47,40,9]","[26,9]",14.7,1.025,-119.0,-3.3196,3.3774,-2.9716,3.812,-1.9297,0.0,0.0,15.4103,0.6395,355.2,832.5,417.0,2542.5,0.7677,0.4567,372.4,834.2,463.9,1708.3,0.8108,219343.0,140427.0,62033.0,45782.0,148836.0,65903.0,28021.0,32441.0,32441.0,9401.0,8416.0,210212.0,301301.0,0.0,0.0,0.0,18.0,787757.0,258409.0,529329.0,1.0,0.6397,0.4721,54537806.0,0.3205,4.179,34119234.0,0.6398,0.4963,54947493.0,0.6397,10.0,215260309.0,1666.7,0.5,1.5e-05,697.9,0.7906,2.9064,1666.7,0.5,-1.5e-05,1666.7,0.5,-1.5e-05,1666.7,0.5,0.0,100.0,54537806.0,697.9,0.7906,2.9064,1666.7,0.5,-1.5e-05,1666.7,0.5,-1.5e-05,1666.7,0.5,0.0,100.0,54537806.0
3,"[47,40,9]","[26,9]",14.7,1.025,-119.0,-3.3196,3.3774,-2.9716,3.812,-1.9297,0.0,0.0,15.4103,0.6395,355.2,832.5,417.0,2542.5,0.7677,0.4567,372.4,834.2,463.9,1708.3,0.8108,219343.0,140427.0,62033.0,45782.0,148836.0,65903.0,28021.0,32441.0,32441.0,9401.0,8416.0,210212.0,301301.0,0.0,0.0,0.0,18.0,787757.0,258409.0,529329.0,1.0,0.6397,0.4721,54537806.0,0.3205,4.179,34119234.0,0.6398,0.4963,54947493.0,0.6397,10.0,215260309.0,1666.7,0.5,1.5e-05,697.9,0.7906,2.9064,1666.7,0.5,-1.5e-05,1666.7,0.5,-1.5e-05,1666.7,0.5,0.0,100.0,54537806.0,697.9,0.7906,2.9064,1666.7,0.5,-1.5e-05,1666.7,0.5,-1.5e-05,1666.7,0.5,0.0,100.0,54537806.0
4,"[47,40,9]","[26,9]",14.7,1.025,-119.0,-3.3196,3.3774,-2.9716,3.812,-1.9297,0.0,0.0,15.4103,0.6395,355.2,832.5,417.0,2542.5,0.7677,0.4567,372.4,834.2,463.9,1708.3,0.8108,219343.0,140427.0,62033.0,45782.0,148836.0,65903.0,28021.0,32441.0,32441.0,9401.0,8416.0,210212.0,301301.0,0.0,0.0,0.0,18.0,787757.0,258409.0,529329.0,1.0,0.6397,0.4721,54537806.0,0.3205,4.179,34119234.0,0.6398,0.4963,54947493.0,0.6397,10.0,215260309.0,1666.7,0.5,1.5e-05,697.9,0.7906,2.9064,1666.7,0.5,-1.5e-05,1666.7,0.5,-1.5e-05,1666.7,0.5,0.0,100.0,54537806.0,697.9,0.7906,2.9064,1666.7,0.5,-1.5e-05,1666.7,0.5,-1.5e-05,1666.7,0.5,0.0,100.0,54537806.0
5,"[47,40,9]","[26,9]",14.7,1.025,-119.0,-3.3196,3.3774,-2.9716,3.812,-1.9297,0.0,0.0,15.4103,0.6395,355.2,832.5,417.0,2542.5,0.7677,0.4567,372.4,834.2,463.9,1708.3,0.8108,219343.0,140427.0,62033.0,45782.0,148836.0,65903.0,28021.0,32441.0,32441.0,9401.0,8416.0,210212.0,301301.0,0.0,0.0,0.0,18.0,787757.0,258409.0,529329.0,1.0,0.6397,0.4721,54537806.0,0.3205,4.179,34119234.0,0.6398,0.4963,54947493.0,0.6397,10.0,215260309.0,1666.7,0.5,1.5e-05,697.9,0.7906,2.9064,1666.7,0.5,-1.5e-05,1666.7,0.5,-1.5e-05,1666.7,0.5,0.0,100.0,54537806.0,697.9,0.7906,2.9064,1666.7,0.5,-1.5e-05,1666.7,0.5,-1.5e-05,1666.7,0.5,0.0,100.0,54537806.0
6,"[47,40,9]","[26,9]",14.7,1.025,-119.0,-3.3196,3.3774,-2.9716,3.812,-1.9297,0.0,0.0,15.4103,0.6395,355.2,832.5,417.0,2542.5,0.7677,0.4567,372.4,834.2,463.9,1708.3,0.8108,219343.0,140427.0,62033.0,45782.0,148836.0,65903.0,28021.0,32441.0,32441.0,9401.0,8416.0,210212.0,301301.0,0.0,0.0,0.0,18.0,787757.0,258409.0,529329.0,1.0,0.6397,0.4721,54537806.0,0.3205,4.179,34119234.0,0.6398,0.4963,54947493.0,0.6397,10.0,215260309.0,1666.7,0.5,1.5e-05,697.9,0.7906,2.9064,1666.7,0.5,-1.5e-05,1666.7,0.5,-1.5e-05,1666.7,0.5,0.0,100.0,54537806.0,697.9,0.7906,2.9064,1666.7,0.5,-1.5e-05,1666.7,0.5,-1.5e-05,1666.7,0.5,0.0,100.0,54537806.0
7,"[48,40,8]","[26,9]",14.7,1.025,-119.0,-3.2886,3.3465,-2.9611,3.8015,-1.9297,0.0,0.0,15.3273,0.6242,355.2,832.5,417.0,2542.5,0.765,0.4515,372.4,834.2,463.9,1708.3,0.8097,222396.0,140221.0,61656.0,45677.0,147947.0,65785.0,28021.0,32441.0,32441.0,9313.0,8386.0,208284.0,300469.0,0.0,0.0,0.0,18.0,785333.0,258862.0,526453.0,1.0,0.6242,0.4793,54454122.0,0.3693,2.7626,34814570.0,0.6241,10.0,215052399.0,0.6243,0.5158,55070352.0,1666.7,0.5,1.5e-05,833.6,0.7499,2.4993,1666.7,0.5,-1.5e-05,1666.7,0.5,-1.5e-05,1666.7,0.5,0.0,100.0,54454122.0,833.6,0.7499,2.4993,1666.7,0.5,-1.5e-05,1666.7,0.5,-1.5e-05,1666.7,0.5,0.0,100.0,54454122.0
8,"[48,39,7]","[26,9]",14.7,1.025,-119.0,-3.2964,3.3543,-2.9621,3.8025,-1.9297,0.0,0.0,15.3451,0.6281,355.2,832.5,417.0,2542.5,0.7657,0.452,372.4,834.2,463.9,1708.3,0.8098,222617.0,140241.0,61752.0,45687.0,148172.0,65797.0,28021.0,32441.0,32441.0,9336.0,8389.0,208771.0,300552.0,0.0,0.0,0.0,18.0,786122.0,259057.0,527048.0,1.0,0.6278,0.4708,54358393.0,0.5226,10.0,30264371.0,0.6284,0.5024,54898205.0,0.6281,0.4764,54456645.0,1666.7,0.5,1.5e-05,470.2,0.8589,3.5894,1666.7,0.5,-1.5e-05,1666.7,0.5,-1.5e-05,1666.7,0.5,0.0,100.0,54358393.0,470.2,0.8589,3.5894,1666.7,0.5,-1.5e-05,1666.7,0.5,-1.5e-05,1666.7,0.5,0.0,100.0,54358393.0
9,"[48,39,7]","[26,9]",14.7,1.025,-119.0,-3.2964,3.3543,-2.9621,3.8025,-1.9297,0.0,0.0,15.3451,0.6281,355.2,832.5,417.0,2542.5,0.7657,0.452,372.4,834.2,463.9,1708.3,0.8098,222617.0,140241.0,61752.0,45687.0,148172.0,65797.0,28021.0,32441.0,32441.0,9336.0,8389.0,208771.0,300552.0,0.0,0.0,0.0,18.0,786122.0,259057.0,527048.0,1.0,0.6278,0.4708,54358393.0,0.5226,10.0,30264371.0,0.6284,0.5024,54898205.0,0.6281,0.4764,54456645.0,1666.7,0.5,1.5e-05,470.2,0.8589,3.5894,1666.7,0.5,-1.5e-05,1666.7,0.5,-1.5e-05,1666.7,0.5,0.0,100.0,54358393.0,470.2,0.8589,3.5894,1666.7,0.5,-1.5e-05,1666.7,0.5,-1.5e-05,1666.7,0.5,0.0,100.0,54358393.0
10,"[48,39,7]","[26,9]",14.7,1.025,-119.0,-3.2964,3.3543,-2.9621,3.8025,-1.9297,0.0,0.0,15.3451,0.6281,355.2,832.5,417.0,2542.5,0.7657,0.452,372.4,834.2,463.9,1708.3,0.8098,222617.0,140241.0,61752.0,45687.0,148172.0,65797.0,28021.0,32441.0,32441.0,9336.0,8389.0,208771.0,300552.0,0.0,0.0,0.0,18.0,786122.0,259057.0,527048.0,1.0,0.6278,0.4708,54358393.0,0.5226,10.0,30264371.0,0.6284,0.5024,54898205.0,0.6281,0.4764,54456645.0,1666.7,0.5,1.5e-05,470.2,0.8589,3.5894,1666.7,0.5,-1.5e-05,1666.7,0.5,-1.5e-05,1666.7,0.5,0.0,100.0,54358393.0,470.2,0.8589,3.5894,1666.7,0.5,-1.5e-05,1666.7,0.5,-1.5e-05,1666.7,0.5,0.0,100.0,54358393.0
