Gen.,"[N1, N1f, N1e]","[N2, N2f]",P,SFratio,CoolerdT,dutycon1,dutyreb1,dutycon2,dutyreb2,coolerduty,vac1duty,vac2duty,ttduty,RR1,top1T,top1F,bot1T,bot1F,D1,RR2,top2T,top2F,bot2T,bot2F,D2,Cap_column1,Cap_column2,Cap_con1,Cap_con2,Cap_reb1,Cap_reb2,Cap_cooler,Cap_vacuum1,Cap_vacuum2,Eng_cw1,Eng_cw2,Eng_st1,Eng_st2,Eng_cooler,Eng_vacuum1,Eng_vacuum2,Entrainer,Cost,totCap,totEng,case,RR1a,RR2a,Costa,RR1b,RR2b,Costb,RR1c,RR2c,Costc,RR1d,RR2d,Costd,F1,Xfi1,FIsx1,F2,Xfi2,FIsx2,F3,Xfi3,FIsx3,F4,Xfi4,FIsx4,F,Xfi,FIsx,penalty,TACfi,△RR1a,△RR2a,△IPA1,△H2O1,△RR1b,△RR2b,△IPA2,△H2O2,△RR1c,△RR2c,△IPA3,△H2O3,△RR1d,△RR2d,△IPA4,△H2O4
1,"[45,36,7]","[26,9]",14.7,1.025,-119.0,-3.4016,3.4595,-2.9875,3.8279,-1.9297,0.0,0.0,15.6061,0.68,355.2,832.5,417.0,2542.5,0.7751,0.4645,372.4,834.2,463.9,1708.3,0.8125,213647.0,140737.0,63025.0,45941.0,151176.0,66081.0,28021.0,32441.0,32441.0,9633.0,8461.0,215317.0,302555.0,0.0,0.0,0.0,18.0,793821.0,257837.0,535966.0,1.0,0.6802,0.4627,541976034.0,0.5226,10.0,297664026.0,0.6234,0.4875,437428760.0,0.6804,0.4691,543082216.0,1666.7,0.5,1.5e-05,470.2,0.8589,3.5893,1330.4,0.3991,-1.0089,1666.7,0.5,-1.5e-05,1666.7,0.5,1.53e-05,1000.0,541976034.0,0.0002,-0.0038,0.0,0.0,-0.2315,20.5305,-0.5153,-0.9204,-0.0832,0.0497,-0.3628,-0.0407,0.0006,0.01,0.0,0.0
2,"[47,39,7]","[25,9]",14.7,1.025,-119.0,-3.2995,3.3573,-2.9833,3.8237,-1.9297,0.0,0.0,15.3936,0.6296,355.2,832.5,417.0,2542.5,0.766,0.4624,372.4,834.2,463.9,1708.3,0.8121,218817.0,135936.0,61789.0,45900.0,148259.0,66035.0,28021.0,32441.0,32441.0,9344.0,8449.0,208960.0,302229.0,0.0,0.0,0.0,18.0,785546.0,256546.0,528982.0,1.0,0.6302,0.477,537785900.0,0.5218,10.0,304859792.0,0.6295,0.7566,584438535.0,0.6297,0.4748,537336980.0,1666.7,0.5,1.5e-05,478.4,0.8565,3.5648,1666.7,0.5,-1.53e-05,1666.7,0.5,-1.5e-05,1666.7,0.5,1.53e-05,1000.0,537785900.0,0.0011,0.0315,0.0,0.0,-0.1712,20.6248,-0.5083,-0.9176,-0.0001,0.6362,0.0,0.0,0.0002,0.0267,0.0,0.0
3,"[47,39,7]","[25,9]",14.7,1.025,-119.0,-3.2995,3.3573,-2.9833,3.8237,-1.9297,0.0,0.0,15.3936,0.6296,355.2,832.5,417.0,2542.5,0.766,0.4624,372.4,834.2,463.9,1708.3,0.8121,218817.0,135936.0,61789.0,45900.0,148259.0,66035.0,28021.0,32441.0,32441.0,9344.0,8449.0,208960.0,302229.0,0.0,0.0,0.0,18.0,785546.0,256546.0,528982.0,1.0,0.6302,0.477,537785900.0,0.5218,10.0,304859792.0,0.6295,0.7566,584438535.0,0.6297,0.4748,537336980.0,1666.7,0.5,1.5e-05,478.4,0.8565,3.5648,1666.7,0.5,-1.53e-05,1666.7,0.5,-1.5e-05,1666.7,0.5,1.53e-05,1000.0,537785900.0,0.0011,0.0315,0.0,0.0,-0.1712,20.6248,-0.5083,-0.9176,-0.0001,0.6362,0.0,0.0,0.0002,0.0267,0.0,0.0
4,"[48,39,7]","[26,9]",14.7,1.025,-119.0,-3.2964,3.3543,-2.9621,3.8025,-1.9297,0.0,0.0,15.3451,0.6281,355.2,832.5,417.0,2542.5,0.7657,0.452,372.4,834.2,463.9,1708.3,0.8098,222617.0,140241.0,61752.0,45687.0,148172.0,65797.0,28021.0,32441.0,32441.0,9336.0,8389.0,208771.0,300552.0,0.0,0.0,0.0,18.0,786122.0,259057.0,527048.0,1.0,0.6278,0.4708,536431618.0,0.5226,10.0,297638417.0,0.6284,0.5024,541781628.0,0.6281,0.4764,537405381.0,1666.7,0.5,1.5e-05,470.2,0.8589,3.5894,1666.7,0.5,-1.53e-05,1666.7,0.5,-1.5e-05,1666.7,0.5,1.53e-05,1000.0,536431618.0,-0.0004,0.0415,0.0,0.0,-0.168,21.1221,-0.5153,-0.9204,0.0005,0.1114,0.0,0.0,0.0001,0.0539,0.0,0.0
5,"[48,39,7]","[26,9]",14.7,1.025,-119.0,-3.2964,3.3543,-2.9621,3.8025,-1.9297,0.0,0.0,15.3451,0.6281,355.2,832.5,417.0,2542.5,0.7657,0.452,372.4,834.2,463.9,1708.3,0.8098,222617.0,140241.0,61752.0,45687.0,148172.0,65797.0,28021.0,32441.0,32441.0,9336.0,8389.0,208771.0,300552.0,0.0,0.0,0.0,18.0,786122.0,259057.0,527048.0,1.0,0.6278,0.4708,536431618.0,0.5226,10.0,297638417.0,0.6284,0.5024,541781628.0,0.6281,0.4764,537405381.0,1666.7,0.5,1.5e-05,470.2,0.8589,3.5894,1666.7,0.5,-1.53e-05,1666.7,0.5,-1.5e-05,1666.7,0.5,1.53e-05,1000.0,536431618.0,-0.0004,0.0415,0.0,0.0,-0.168,21.1221,-0.5153,-0.9204,0.0005,0.1114,0.0,0.0,0.0001,0.0539,0.0,0.0
6,"[48,39,7]","[26,9]",14.7,1.025,-119.0,-3.2964,3.3543,-2.9621,3.8025,-1.9297,0.0,0.0,15.3451,0.6281,355.2,832.5,417.0,2542.5,0.7657,0.452,372.4,834.2,463.9,1708.3,0.8098,222617.0,140241.0,61752.0,45687.0,148172.0,65797.0,28021.0,32441.0,32441.0,9336.0,8389.0,208771.0,300552.0,0.0,0.0,0.0,18.0,786122.0,259057.0,527048.0,1.0,0.6278,0.4708,536431618.0,0.5226,10.0,297638417.0,0.6284,0.5024,541781628.0,0.6281,0.4764,537405381.0,1666.7,0.5,1.5e-05,470.2,0.8589,3.5894,1666.7,0.5,-1.53e-05,1666.7,0.5,-1.5e-05,1666.7,0.5,1.53e-05,1000.0,536431618.0,-0.0004,0.0415,0.0,0.0,-0.168,21.1221,-0.5153,-0.9204,0.0005,0.1114,0.0,0.0,0.0001,0.0539,0.0,0.0
7,"[50,42,7]","[26,9]",14.7,1.025,-119.0,-3.2639,3.3218,-2.9464,3.7868,-1.9297,0.0,0.0,15.2484,0.612,355.2,832.5,417.0,2542.5,0.7628,0.4443,372.4,834.2,463.9,1708.3,0.8081,229417.0,139932.0,61355.0,45529.0,147236.0,65619.0,28021.0,32441.0,32441.0,9243.0,8344.0,206747.0,299306.0,0.0,0.0,0.0,18.0,784321.0,260664.0,523640.0,1.0,0.612,0.4582,532242063.0,0.5225,10.0,297664646.0,0.612,0.5009,539377694.0,0.612,0.5422,546290869.0,1666.7,0.5,1.5e-05,470.2,0.8589,3.5893,1666.7,0.5,-1.53e-05,1666.7,0.5,-1.5e-05,1666.7,0.5,1.53e-05,1000.0,532242063.0,0.0,0.0313,0.0,0.0,-0.1462,21.5071,-0.5153,-0.9204,0.0,0.1274,0.0,0.0,0.0,0.2204,0.0,0.0
8,"[48,41,7]","[26,9]",14.7,1.025,-119.0,-3.2835,3.3414,-2.9509,3.7913,-1.9297,0.0,0.0,15.2968,0.6217,355.2,832.5,417.0,2542.5,0.7646,0.4466,372.4,834.2,463.9,1708.3,0.8086,222260.0,140022.0,61594.0,45575.0,147801.0,65671.0,28021.0,32441.0,32441.0,9299.0,8357.0,207967.0,299668.0,0.0,0.0,0.0,18.0,783917.0,258609.0,525291.0,1.0,0.6217,0.4366,529905451.0,0.5368,0.7601,721654.0,0.6217,0.495,539668862.0,0.6217,0.4704,535564791.0,1666.7,0.5,1.5e-05,1333.3,0.6,1.0,1666.7,0.5,-1.53e-05,1666.7,0.5,-1.5e-05,1666.7,0.5,1.53e-05,1000.0,529905451.0,0.0001,-0.0223,0.0,0.0,-0.1365,0.7022,-0.04,-0.36,0.0001,0.1085,0.0,0.0,0.0001,0.0535,0.0,0.0
9,"[48,40,7]","[30,9]",14.4,1.1239,-143.0,-2.98,2.9992,-3.032,3.9033,-2.4843,0.0,0.0,15.3988,0.4698,354.7,832.5,418.4,2707.3,0.7834,0.4853,371.9,834.2,463.1,1873.1,0.8251,228092.0,161883.0,58315.0,46685.0,146223.0,66385.0,41622.0,32441.0,32441.0,8439.0,8587.0,186672.0,308516.0,0.0,4.0,1.0,18.0,783595.0,271363.0,446639.0,1.0,0.4662,0.5096,523649497.0,0.4625,10.0,532385932.0,0.467,0.5338,414605355.0,0.4661,0.4986,521806845.0,1666.7,0.5,1.5e-05,705.4,0.7884,2.8838,1264.0,0.3792,-1.208,1666.7,0.5,-1.5e-05,1666.7,0.5,1.53e-05,1000.0,523649497.0,-0.0077,0.0501,0.0,0.0,-0.0156,19.6065,-0.3327,-0.8209,-0.006,0.1001,-0.4248,-0.0584,-0.0079,0.0275,0.0,0.0
10,"[48,40,7]","[30,9]",14.4,1.1239,-143.0,-2.98,2.9992,-3.032,3.9033,-2.4843,0.0,0.0,15.3988,0.4698,354.7,832.5,418.4,2707.3,0.7834,0.4853,371.9,834.2,463.1,1873.1,0.8251,228092.0,161883.0,58315.0,46685.0,146223.0,66385.0,41622.0,32441.0,32441.0,8439.0,8587.0,186672.0,308516.0,0.0,4.0,1.0,18.0,783595.0,271363.0,446639.0,1.0,0.4662,0.5096,523649497.0,0.4625,10.0,532385932.0,0.467,0.5338,414605355.0,0.4661,0.4986,521806845.0,1666.7,0.5,1.5e-05,705.4,0.7884,2.8838,1264.0,0.3792,-1.208,1666.7,0.5,-1.5e-05,1666.7,0.5,1.53e-05,1000.0,523649497.0,-0.0077,0.0501,0.0,0.0,-0.0156,19.6065,-0.3327,-0.8209,-0.006,0.1001,-0.4248,-0.0584,-0.0079,0.0275,0.0,0.0
